query,filter_para,normalized_values
Show walls on first floor,"[{""parameter_name"": ""Level"", ""value"": ""first floor""}]","[{""parameter_name"": ""Level"", ""original_value"": ""first floor"", ""normalized_value"": ""Level 1"", ""is_standardized"": true}]"
Find doors on second floor,"[{""parameter_name"": ""Level"", ""value"": ""second floor""}]","[{""parameter_name"": ""Level"", ""original_value"": ""second floor"", ""normalized_value"": ""Level 2"", ""is_standardized"": true}]"
Windows on ground floor,"[{""parameter_name"": ""Level"", ""value"": ""ground floor""}]","[{""parameter_name"": ""Level"", ""original_value"": ""ground floor"", ""normalized_value"": ""Level 1"", ""is_standardized"": true}]"
Show concrete walls,"[{""parameter_name"": ""Material"", ""value"": ""concrete""}]","[{""parameter_name"": ""Material"", ""original_value"": ""concrete"", ""normalized_value"": ""Concrete"", ""is_standardized"": true}]"
Find steel beams,"[{""parameter_name"": ""Material"", ""value"": ""steel""}]","[{""parameter_name"": ""Material"", ""original_value"": ""steel"", ""normalized_value"": ""Steel"", ""is_standardized"": true}]"
Brick walls,"[{""parameter_name"": ""Material"", ""value"": ""brick""}]","[{""parameter_name"": ""Material"", ""original_value"": ""brick"", ""normalized_value"": ""Brick"", ""is_standardized"": true}]"
2 hour fire rated doors,"[{""parameter_name"": ""Fire Rating"", ""value"": ""2 hour""}]","[{""parameter_name"": ""Fire Rating"", ""original_value"": ""2 hour"", ""normalized_value"": ""2 Hour"", ""is_standardized"": true}]"
1hr fire rating,"[{""parameter_name"": ""Fire Rating"", ""value"": ""1hr""}]","[{""parameter_name"": ""Fire Rating"", ""original_value"": ""1hr"", ""normalized_value"": ""1 Hour"", ""is_standardized"": true}]"
Show all walls,"[{""parameter_name"": ""Category"", ""value"": ""Walls""}]","[{""parameter_name"": ""Category"", ""original_value"": ""Walls"", ""normalized_value"": ""Walls"", ""is_standardized"": true}]"
concrete columns on lvl 2,"[{""parameter_name"": ""Material"", ""value"": ""concrete""}, {""parameter_name"": ""Level"", ""value"": ""lvl 2""}]","[{""parameter_name"": ""Material"", ""original_value"": ""concrete"", ""normalized_value"": ""Concrete"", ""is_standardized"": true}, {""parameter_name"": ""Level"", ""original_value"": ""lvl 2"", ""normalized_value"": ""Level 2"", ""is_standardized"": true}]"
glass windows 3rd floor,"[{""parameter_name"": ""Material"", ""value"": ""glass""}, {""parameter_name"": ""Level"", ""value"": ""3rd floor""}]","[{""parameter_name"": ""Material"", ""original_value"": ""glass"", ""normalized_value"": ""Glass"", ""is_standardized"": true}, {""parameter_name"": ""Level"", ""original_value"": ""3rd floor"", ""normalized_value"": ""Level 3"", ""is_standardized"": true}]"
